港澳台,#genre#

翡翠台,http://free.9528.eu.org:9529/stream/hk/test/master.m3u8?u=admin&p=70db29aeaebf312fd2b93d3d69d99a16ad3319d0b354567f2be5c5e91c6be18b
翡翠台,http://116.199.24.6:2901/udp/224.1.100.122:11111
翡翠台,http://cdn8.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://gzcyl001.3322.org:8081/hls/30/index.m3u8
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1
翡翠台,http://tv.greatstar.me:80/play/live.php?mac=00:1A:79:E5:D4:63&stream=153395&extension=ts&play_token=GSeS2kPBfo#http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:32:C6:2F&stream=153395&extension=ts&play_token=q7ZWhW5oIC
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,http://cwc.serv00.net/srttv.php?id=jade_twn
翡翠台,http://1b6467f415.iok.la:9931/tsfile/live/1007_1.m3u8
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/99
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct4
翡翠台,https://epg.pw/stream/668e856e77007183b24d51ad4f1289a57781942d4ae10827bb79a92e49e58ea0.m3u8
翡翠台,https://douyincdn-6mirror-aliyuncs.52520.xyz/histar.php?key=fce50d20c5069eb773c70dc18d3b49e3&id=feicui
TVB翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
TVB翡翠台,https://douyincdn-6mirror-aliyuncs.52520.xyz/histar.php?key=fce50d20c5069eb773c70dc18d3b49e3&id=golden-jade
TVB翡翠台,http://cdn8.jdshipin.com:8880/smt.php?id=Wlt
TVB翡翠台,http://158.180.67.130/live/hls/J/j.m3u8
TVB翡翠台 ,http://free.9528.eu.org:9529/stream/hk/test/master.m3u8?u=admin&p=70db29aeaebf312fd2b93d3d69d99a16ad3319d0b354567f2be5c5e91c6be18b
無綫新聞台,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
無綫新聞台,http://cdn8.jdshipin.com:8880/smt.php?id=inews_twn
無綫新聞台,https://tvb.livednow.com/C
無綫新聞台,http://113.83.152.28:1935/bysid/83
無綫新聞台,http://123.202.245.120:8008/bysid/83
無綫新聞台,http://grandprix2023.asuscomm.com:8892/bysid/83
無綫新聞台,http://live.cooltv.top/tv/tvb.php?id=0&hq
無線新聞台,http://live.cooltv.top/tv/tvb.php?id=4&hq
無線新聞台,http://live.cooltv.top/tv/tvb.php?id=5&hq
無線新聞台,http://live.cooltv.top/tv/tvb.php?id=7&hq
無線新聞台,http://live.cooltv.top/tv/tvb.php?id=8&hq
無線新聞台,http://live.cooltv.top/tv/tvb.php?id=9&hq
TVB无线新闻,http://zsntlqj.xicp.net:8896/bysid/83
TVB无线新闻,http://154.yfvodcdn.com:8080/live/TVBtyzxt1/hls.m3u8
TVB无线新闻,http://live.cooltv.top/tv/tvb.php?id=2
TVB无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
TVB无线新闻,https://douyincdn-6mirror-aliyuncs.52520.xyz/histar.php?key=fce50d20c5069eb773c70dc18d3b49e3&id=tvb-news
TVB亞洲劇,https://epg.pw/stream/c88adc69fe22cc05c7ff2984ad14db99f461e6dda12687cb7bbaf5e03a357a38.m3u8
